station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
12 St & Sinatra Dr N,13,1.0,0.0,0.33333334,0.0,0.0,0.33333334
12 St & Sinatra Dr N,14,0.0,0.0,0.33333334,0.0,0.0,0.6666667
12 St & Sinatra Dr N,15,0.0,0.0,1.0,0.0,1.0,0.33333334
12 St & Sinatra Dr N,16,1.0,1.0,1.0,1.0,0.0,0.6666667
12 St & Sinatra Dr N,17,1.0,1.0,0.6666667,0.0,0.0,0.6666667
12 St & Sinatra Dr N,18,1.0,1.0,1.0,1.0,1.0,0.6666667
12 St & Sinatra Dr N,19,1.0,0.0,1.3333334,1.0,0.0,0.6666667
12 St & Sinatra Dr N,20,0.0,0.0,0.6666667,0.0,0.0,0.6666667
12 St & Sinatra Dr N,21,0.0,0.0,0.33333334,0.0,0.0,0.6666667
12 St & Sinatra Dr N,22,0.0,0.0,0.0,0.0,0.0,0.33333334
12 St & Sinatra Dr N,23,0.0,0.0,0.0,0.0,0.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,0,0.0,0.0,0.0,0.0,0.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,1,0.0,0.0,0.0,0.0,0.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,2,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,3,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,4,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,5,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,6,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,7,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,8,0.0,0.0,0.0,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,9,0.0,0.0,0.0,1.0,1.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,10,0.0,0.0,0.33333334,1.0,0.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,11,0.0,0.0,0.33333334,0.0,0.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,12,0.0,1.0,0.33333334,0.0,0.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,13,1.0,1.0,0.6666667,0.0,0.0,0.0
14 St Ferry - 14 St & Shipyard Ln,14,1.0,0.0,0.6666667,0.0,1.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,15,0.0,2.0,0.6666667,1.0,1.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,16,2.0,0.0,1.0,1.0,0.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,17,1.0,1.0,1.0,0.0,1.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,18,1.0,1.0,1.3333334,1.0,1.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,19,0.0,0.0,1.0,1.0,1.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,20,0.0,0.0,0.6666667,1.0,0.0,1.0
14 St Ferry - 14 St & Shipyard Ln,21,0.0,0.0,0.33333334,0.0,0.0,0.6666667
14 St Ferry - 14 St & Shipyard Ln,22,0.0,0.0,0.33333334,0.0,0.0,0.33333334
14 St Ferry - 14 St & Shipyard Ln,23,0.0,0.0,0.0,0.0,0.0,0.33333334
2 Ave & E 125 St,0,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,1,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,2,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,3,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,4,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,5,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,6,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,7,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,8,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,9,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,10,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,11,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,12,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,13,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,14,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,15,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,16,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,17,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,18,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,19,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,20,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,21,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,22,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 125 St,23,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,0,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,1,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,2,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,3,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,4,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,5,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,6,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,7,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,8,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,9,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,10,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,11,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,12,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,13,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,14,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,15,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,16,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,17,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,18,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,19,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,20,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,21,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,22,0.0,0.0,0.0,0.0,0.0,0.0
2 Ave & E 72 St,23,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,0,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,1,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,2,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,3,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,4,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,5,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,6,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,7,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,8,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,9,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,10,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,11,0.0,0.0,0.0,0.0,0.0,0.33333334
2 St & Park Ave,12,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,13,0.0,0.0,0.0,0.0,0.0,0.0
2 St & Park Ave,14,0.0,0.0,0.33333334,0.0,0.0,0.0
2 St & Park Ave,15,0.0,0.0,0.33333334,0.0,0.0,0.33333334
2 St & Park Ave,16,0.0,0.0,0.33333334,0.0,0.0,0.33333334
